id,composition_id,o.sxx,o.syy,o.szz,o.sxy,o.syz,o.szx
2347335,Al2 Ba1 O4,35.45287,35.43584,34.71409,-0.01864,8e-05,1e-05
2347336,Al1 Cl4 Te2,6.27006,5.7976,5.62685,0.0,0.0,0.0
2347526,Al2 Na2 Sb3,6.08607,6.17259,5.80991,0.0,0.0,-0.04876
2347567,Al3 Ho1 O8 Pb2,36.61543,36.61543,36.61543,0.0,0.0,0.0
2347711,Al2 Ca1 S4,4.5671,3.78739,2.93561,0.0,0.0,0.0
2347793,Al4 K1 Na3 O16 Si4,35.57199,35.50176,36.05849,-0.06624,0.0,0.0
2347834,Al8 Be1 Mg3 O16,54.84057,54.78133,52.14936,-0.06217,0.00066,-0.0001
2348306,Al2 Ca3 F8 H6 O8 S1,55.63142,58.36375,55.7853,0.0,0.0,-0.34804
2348490,Al19 Co6 U2,24.96001,27.43718,17.90276,0.0,0.0,4.79112
2348524,Al1 B1 O4 Sr1,40.34567,43.1011,46.93037,0.0,0.0,0.0
2348581,Al1 Cl4 Se2,6.24696,6.41544,5.83251,0.0,0.0,0.0
2348922,Al1 B1 O4 Pb1,39.11276,43.25398,42.75558,0.0,0.0,0.0
2349161,Al1 H8 N4 Na1,-38.73699,25.29285,9.37405,-0.00192,0.00983,-8.01359
2349236,Al1 Na3 S3,4.85529,4.86731,4.73193,0.0,0.0,-0.36188
2349293,Al2 As3 Na2,7.88834,7.9443,7.72691,0.0,0.0,0.11827
2349326,Al1 Ca2 Na5 O16 P4,35.81486,37.87833,38.77968,0.0,0.0,1.46418
